"site_id","waterbody_name","sample_date","parameter_name","result_value","municipality","description","latitude","longitude"
"07-VENE-1.5","Veness Brook","7/16/2019, 3:10 PM","PHOSPHORUS, TOTAL (AS P)",0.0221,"Fleming","downstream of silver street rd. bridge.",42.880164,-76.56232
"07-DUCH-0.3","Dutch Hollow Brook","7/16/2019, 1:00 PM","PHOSPHORUS, TOTAL (AS P)",0.0109,"Owasco","east lake rd.",42.864,-76.508
"07-OWAL_T9-0.1","Unnamed TributaryTo Owasco Lake","7/16/2019, 12:00 PM","PHOSPHORUS, TOTAL (AS P)",0.0885,"Niles","off widewaters rd.",42.805,-76.491
"07-OWLI-3.0","Owasco Lake Inlet","7/16/2019, 10:30 AM","PHOSPHORUS, TOTAL (AS P)",0.0147,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWAL_T46-0.1","Unnamed TributaryTo Owasco Lake","7/16/2019, 12:00 AM","PHOSPHORUS, TOTAL (AS P)",0.0115,"Scipio","off fire lane near sr 38.",42.824,-76.521
"07-VENE-1.5","Veness Brook","6/19/2019, 12:00 PM","PHOSPHORUS, TOTAL (AS P)",0.0199,"Fleming","downstream of silver street rd. bridge.",42.880164,-76.56232
"07-OWAL_T46-0.1","Unnamed TributaryTo Owasco Lake","6/19/2019, 10:45 AM","PHOSPHORUS, TOTAL (AS P)",0.0107,"Scipio","off fire lane near sr 38.",42.824,-76.521
"07-DUCH-0.3","Dutch Hollow Brook","6/19/2019, 8:45 AM","PHOSPHORUS, TOTAL (AS P)",0.0245,"Owasco","east lake rd.",42.864,-76.508
"07-SCKR-0.1","Sucker Brook","6/19/2019, 8:00 AM","PHOSPHORUS, TOTAL (AS P)",0.0435,"Owasco","100 m upstream of sr 38a.",42.902,-76.527
"07-OWLI-3.0","Owasco Lake Inlet","6/18/2019, 3:15 PM","PHOSPHORUS, TOTAL (AS P)",0.0179,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-VENE-0.4","Veness Brook","6/19/2018, 8:40 AM","PHOSPHORUS, TOTAL (AS P)",0.122,"Fleming","Veness Brook at Oltz Residence",42.886,-76.548
"07-SCKR-0.1","Sucker Brook","6/19/2018, 8:00 AM","PHOSPHORUS, TOTAL (AS P)",0.0498,"Owasco","100 m upstream of sr 38a.",42.902,-76.527
"07-DUCH-0.3","Dutch Hollow Brook","6/19/2018, 7:30 AM","PHOSPHORUS, TOTAL (AS P)",0.011,"Owasco","east lake rd.",42.864,-76.508
"07-OWLI-3.0","Owasco Lake Inlet","6/19/2018, 6:45 AM","PHOSPHORUS, TOTAL (AS P)",0.022,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","5/29/2018, 12:30 PM","PHOSPHORUS, TOTAL (AS P)",NA,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-DUCH-0.3","Dutch Hollow Brook","5/29/2018, 11:20 AM","PHOSPHORUS, TOTAL (AS P)",0.0173,"Owasco","east lake rd.",42.864,-76.508
"07-SCKR-0.1","Sucker Brook","5/29/2018, 10:30 AM","PHOSPHORUS, TOTAL (AS P)",0.0341,"Owasco","100 m upstream of sr 38a.",42.902,-76.527
"07-SCKR-0.1","Sucker Brook","5/29/2018, 10:30 AM","PHOSPHORUS, TOTAL (AS P)",0.0332,"Owasco","100 m upstream of sr 38a.",42.902,-76.527
"07-VENE-0.4","Veness Brook","5/23/2018, 8:10 AM","PHOSPHORUS, TOTAL (AS P)",0.0221,"Fleming","Veness Brook at Oltz Residence",42.886,-76.548
"07-SCKR-0.1","Sucker Brook","5/23/2018, 7:40 AM","PHOSPHORUS, TOTAL (AS P)",0.0251,"Owasco","100 m upstream of sr 38a.",42.902,-76.527
"07-DUCH-0.3","Dutch Hollow Brook","5/23/2018, 7:00 AM","PHOSPHORUS, TOTAL (AS P)",0.0188,"Owasco","east lake rd.",42.864,-76.508
"07-DUCH-0.3","Dutch Hollow Brook","5/23/2018, 7:00 AM","PHOSPHORUS, TOTAL (AS P)",0.0176,"Owasco","east lake rd.",42.864,-76.508
"07-OWLI-3.0","Owasco Lake Inlet","5/23/2018, 6:24 AM","PHOSPHORUS, TOTAL (AS P)",0.111,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","5/15/2018, 2:40 PM","PHOSPHORUS, TOTAL (AS P)",0.0222,"Moravia","20 m below sr 38.",42.71667,-76.43773
