UFI Lab ID,Client ID,Field ,System Name,Station ,Sampling ,Sampling ,Receive,Receive,Comments,TP,flags,TDP ,flags,SRP,flags,Analysis,NOx,flags,tNH3,flags,TN,flags,TSS,flags
,,Duplicate,,Name,Date,Time,Date,Time,Log In,(µgP/L),(TDP), (µgP/L),(TP), (µgP/L),(SRP),Date, (µgN/L),(NOx), (µgN/L),(tNH3), (µgN/L),(TN),mgDW/L,(TSS)
220506001-001,OWLA 166,,Owasco Tributaries,Dutch Hollow Brook,5/5/2022,10:00,5/5/2022,13:01,,10.4,,6.9,,2.3,,5/6/2022,1276.4,,15.1,F16,1617,F13,2.2,
220506001-002,OWLA 101,A,Owasco Tributaries,Sucker Brook,5/5/2022,9:30,5/5/2022,13:01,,20.5,,12.4,,2.8,,5/6/2022,148.5,,20.3,F16,493,,2.4,
220506001-003,OWLA 158,,Owasco Tributaries,Owasco Inlet/Walpole Rd.,5/5/2022,11:40,5/5/2022,13:01,,40.4,,29.9,,21.3,,5/6/2022,1097.7,,59,,1012,,4.6,
220506001-004,OWLA 274,,Owasco Tributaries,Veness Brook,5/5/2022,12:30,5/5/2022,13:01,,51.9,,25.5,,13.9,"F26, F27",5/6/2022,613,,33.4,"F26, F27",1035,,19.8,
220506001-005,OWLA 200,,Owasco Tributaries,Owasco inlet/St. Rt. 90,5/5/2022,11:15,5/5/2022,13:01,,16.4,,8.3,,2.8,,5/6/2022,1179.3,,19.7,F16,1198,,4.6,
220506001-006,OWLA 213,,Owasco Tributaries,Owasco Inlet/W. Cayuga St.,5/5/2022,10:45,5/5/2022,13:01,,15.1,,7.1,,2.7,,5/6/2022,1294.3,,10.8,F16,1413,,4.2,
220506001-007,OWLA 101,,Owasco Tributaries,Long Point,5/5/2022,10:20,5/5/2022,13:01,,10.3,,5.9,,3.3,,5/6/2022,2533.6,,14.9,F16,2540,,1.3,
220506001-008,OWLA 101,B,Owasco Tributaries,Field Dup,5/5/2022,9:30,5/5/2022,13:01,,21.1,,12.9,,3.7,,5/6/2022,139.2,,20.7,F16,540,,5.5,
220506001-009,Field Blank,,Owasco Tributaries,Field Blank,5/5/2022,9:30,5/5/2022,13:01,,1.9,F16,2.4,F16,<lod,F22,5/6/2022,<lod,F22,12.3,F16,323,,<lod,F22
220520001-001,OWLA 166,A,Owasco Tributaries,Dutch Hollow Brook,5/20/2022,10:10,5/20/2022,13:57,,15.6,,9.3,,4,,5/20/2022,983.9,,<LOD,F22,1321,,1.4,F16
