Station,Station.Name,Longitude,Latitude,SAMPLE_DATE,Parameter,Result.Value,Error_Flag
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Alkalinity, Total (As CaCO3) (total,mg/l)",195,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Aluminum (dissolved,ug/l)",5.6,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Aluminum (total,ug/l)",38.4,EJ
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Cadmium (total,ug/l)",0.029,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Calcium (total,ug/l)",66400,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Chloride (As Cl) (total,mg/l)",25.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Copper (dissolved,ug/l)",0.921,*J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Copper (total,ug/l)",0.986,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Dissolved Organic Carbon (dissolved,mg/l)",2.1,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Hardness (As CaCO3) (total,mg/l)",236,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Iron (total,ug/l)",81.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Lead (total,ug/l)",0.067,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Magnesium (total,ug/l)",12900,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Manganese (total,ug/l)",11,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Mercury (total,ng/l)",0.829,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Nickel (dissolved,ug/l)",1.8,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Nickel (total,ug/l)",2.1,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Nitrogen, Ammonia (As N) (total,mg/l)",0.021,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Nitrogen, Kjeldahl, Total (total,mg/l)",0.12,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Nitrogen, Nitrate-Nitrite (total,mg/l)",1.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Nitrogen, Nitrate (As N) (total,mg/l)",1.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"pH (total,ph units)",8.41,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Phosphorus (total,mg/l)",0.0054,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Potassium (total,ug/l)",1090,E
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Sodium (total,ug/l)",13800,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Specific Conductance (total,umhos/cm)",472,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Sulfate (As SO4) (total,mg/l)",15,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Total Dissolved Solids (Residue, Filterable) (total,mg/l)",259,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Total Organic Carbon (total,mg/l)",2.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Total Solids (total,mg/l)",290,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Total Suspended Solids (total,mg/l)",1.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Total Volatile Solids (total,mg/l)",32,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Turbidity (total,ntu)",1.34,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Zinc (dissolved,ug/l)",15.9,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/4/2012,"Zinc (total,ug/l)",0.996,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Alkalinity, Total (As CaCO3) (total,mg/l)",184,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Aluminum (total,ug/l)",36.4,EJ
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Calcium (total,ug/l)",59900,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Chloride (As Cl) (total,mg/l)",23.7,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Copper (dissolved,ug/l)",1.1,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Copper (total,ug/l)",1.1,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Dissolved Organic Carbon (dissolved,mg/l)",2.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Hardness (As CaCO3) (total,mg/l)",210,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Iron (total,ug/l)",71,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Magnesium (total,ug/l)",11800,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Manganese (total,ug/l)",12.1,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Mercury (total,ng/l)",0.783,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Nickel (dissolved,ug/l)",1.7,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Nickel (total,ug/l)",1.8,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Nitrogen, Kjeldahl, Total (total,mg/l)",0.17,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Nitrogen, Nitrate-Nitrite (total,mg/l)",1.43,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,4/30/2012,"Nitrogen, Nitrate (As N) (total,mg/l)",1.43,
