"Site","Site_ID","Project","Date","TP","Lat","Long"
"Dutch Hollow","OWLA 166","DHD",2018-07-05,"20",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD",2018-07-05,"53.5",42.754942,-76.463351
"Veness Brook","OWLA 174","DHD",2018-07-05,"59.3",42.887364,-76.54882
"Firelane 26","OWLA 321","DHD",2018-07-05,"23.7",42.823804,-76.533361
"Dutch Hollow","OWLA 166","DHD",2018-07-17,"10.6",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD",2018-07-17,"34.3",42.754942,-76.463351
"Dutch Hollow","OWLA 166","DHD",2018-07-25,"67.9",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD",2018-07-25,"102.6",42.754942,-76.463351
"Veness Brook","OWLA 174","DHD",2018-07-25,"56.3",42.887364,-76.54882
"Sucker Brook","OWLA 101","DHD",2018-07-25,"64.6",42.901229,-76.527212
"Dutch Hollow","OWLA 166","DHD",2018-07-31,"13.3",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD",2018-07-31,"32.1",42.754942,-76.463351
"Firelane 26","OWLA 321","DHD",2018-07-31,"21.2",42.823804,-76.533361
"Veness Brook","OWLA 174","DHD",2018-07-31,"42.4",42.887364,-76.54882
"Sucker Brook","OWLA 101","DHD",2018-07-31,"50.3",42.901229,-76.527212
"Martins Point","OWLA 303","DHD",2018-07-31,"7",42.892722,-76.521832
"Dutch Hollow","OWLA 166","DHD",2018-08-14,"18.6",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD",2018-08-14,"94.5",42.754942,-76.463351
"Veness Brook","OWLA 174","DHD",2018-08-14,"40",42.887364,-76.54882
"Sucker Brook","OWLA 101","DHD",2018-08-14,"172",42.901229,-76.527212
"Martins Point","OWLA 303","DHD",2018-08-14,"34.5",42.892722,-76.521832
"Firelane 26","OWLA 321","DHD",2018-08-14,"42.7",42.823804,-76.533361
"Dutch Hollow","OWLA 166","DHD",2018-08-28,"11.7",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD",2018-08-28,"36.1",42.754942,-76.463351
"Veness Brook","OWLA 174","DHD",2018-08-28,"36.6",42.887364,-76.54882
"Sucker Brook","OWLA 101","DHD",2018-08-28,"73.6",42.901229,-76.527212
"Martins Point","OWLA 303","DHD",2018-08-28,"16.8",42.892722,-76.521832
