"Site","Date","Value","Latitude","Longitude","Database"
"07-OWAL_T2-0.1",2017-04-05,0.021,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2017-04-05,0.0204,42.824,-76.521,"DEC"
"07-OWAL_T5-0.2",2017-04-05,0.0239,42.843,-76.503,"DEC"
"07-OWLI-0.1",2017-04-05,0.058,42.755,-76.463,"DEC"
"07-VENE-0.4",2017-04-05,0.1016,42.886,-76.548,"DEC"
"07-DUCH-0.3",2017-04-05,0.0725,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-04-05,0.0271,42.902,-76.527,"DEC"
"07-OWLI-0.1",2017-05-02,0.0822,42.755,-76.463,"DEC"
"07-VENE-0.4",2017-05-02,0.0724,42.886,-76.548,"DEC"
"07-DUCH-0.3",2017-05-02,0.1018,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-05-02,0.287,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2017-06-06,0.0354,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2017-06-06,0.0131,42.824,-76.521,"DEC"
"07-OWAL_T5-0.2",2017-06-06,0.0307,42.843,-76.503,"DEC"
"07-OWLI-0.1",2017-06-06,0.0683,42.755,-76.463,"DEC"
"07-VENE-0.4",2017-06-06,0.0243,42.886,-76.548,"DEC"
"07-DUCH-0.3",2017-06-06,0.0202,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-06-06,0.0274,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2017-07-05,0.0396,42.892,-76.522,"DEC"
"07-DUCH-0.3",2017-07-05,0.031,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-07-05,0.0472,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2017-07-28,0.0442,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2017-07-28,0.0117,42.824,-76.521,"DEC"
"07-OWAL_T5-0.2",2017-07-28,0.0206,42.843,-76.503,"DEC"
