"Date","Remarks","Value"
2013-09-10,NA,0.033
2013-11-05,NA,0.06
2014-06-10,NA,0.01
2014-06-24,NA,0.03
2014-07-08,NA,0.03
2014-07-22,NA,0.01
2014-08-05,NA,0.067
2014-08-19,NA,0.02
2014-09-02,NA,0.017
2014-09-16,NA,0.012
2015-06-25,NA,0.054
2015-06-30,NA,0.052
2015-08-18,NA,0.0288
2015-09-15,NA,0.0895
2015-09-30,NA,0.206
2015-10-29,NA,0.0444
2017-04-05,NA,0.0271
2017-05-02,NA,0.287
2017-06-06,NA,0.0274
2017-07-05,NA,0.0472
2017-07-28,NA,0.049
2017-10-30,NA,0.3832
2017-11-15,NA,0.0203
2017-12-01,NA,0.012
2018-03-12,NA,0.0084
2018-03-20,NA,0.0085
2018-04-03,NA,0.0139
2018-04-18,NA,0.0263
2018-04-26,NA,0.0173
2018-05-01,NA,0.0162
2018-05-15,NA,0.0199
2018-05-23,NA,0.0251
2018-05-29,NA,0.0341
2018-06-19,NA,0.0498
2018-07-25,NA,0.0646
2018-07-31,NA,0.0503
2018-08-14,NA,0.172
2018-08-28,NA,0.0736
2018-09-10,NA,0.0305
2018-09-11,NA,0.0447
2018-10-09,NA,0.0332
2018-10-23,NA,0.0157
2018-10-29,NA,0.0506
2018-11-02,NA,0.0371
2019-06-19,NA,0.0435
2021-09-22,NA,0.0335
2021-09-24,NA,0.1205
2021-10-14,NA,0.0327
2021-10-18,NA,0.2223
2021-11-10,NA,0.0337
2022-05-05,NA,0.0205
2022-05-20,NA,0.0275
2022-06-01,NA,0.054
2022-06-16,NA,0.6278
2022-07-11,NA,0.0497
2022-07-20,NA,0.0662
2022-08-03,NA,0.0779
2022-08-23,NA,0.0987
2022-09-08,NA,0.4166
2022-09-21,NA,0.086
2022-10-05,NA,0.0378
2022-10-19,NA,0.0173
