Site,Date,Stage_ft,Q_ft3_s
Sucker Brook,9/22/2021,681.9751,2.4
Dutch Hollow,9/22/2021,713.734,12.77
Inlet Moravia,9/22/2021,727.4836,65.06
Inlet Rt 90,9/22/2021,772.549,49.12
Inlet Walpole Rd,9/22/2021,942.606,13.37
Veness Brook,9/22/2021,711.6044,0
Sucker Brook,9/24/2021,682.215,40.6
Dutch Hollow,9/24/2021,714.131,72.6
Inlet Moravia,9/24/2021,728.2155,223.05
Inlet Rt 90,9/24/2021,773.487,328.18
Inlet Walpole Rd,9/24/2021,944.31,76.4
Veness Brook,9/24/2021,711.873,0
Sucker Brook,10/14/2021,681.848,3.97
Dutch Hollow,10/14/2021,713.4318,8.84
Inlet Moravia,10/14/2021,727.496,57.82
Inlet Rt 90,10/14/2021,772.6454,100.15
Inlet Walpole Rd,10/14/2021,943.753,26.5
Veness Brook,10/14/2021,711.4871,0
Sucker Brook,10/18/2021,682.6095,32.87
Dutch Hollow,10/18/2021,715.3806,226.6
Inlet Moravia,10/18/2021,729.99,441.65
Inlet Rt 90,10/18/2021,773.828,654.11
Inlet Walpole Rd,10/18/2021,944.4388,47.98
Veness Brook,10/18/2021,712.2525,30.11
Sucker Brook,11/10/2021,681.2647,1.17
Dutch Hollow,11/10/2021,713.796,32.32
Inlet Moravia,11/10/2021,728.357,243.3
Inlet Rt 90,11/10/2021,773.1698,200.65
Inlet Walpole Rd,11/10/2021,944.1315,14.12
Veness Brook,11/10/2021,710.9188,0
Sucker Brook,5/5/2022,682.2252,10.26
Dutch Hollow,5/5/2022,714.214,55.47
Inlet Moravia,5/5/2022,no data,
Inlet Rt 90,5/5/2022,no data,
Inlet Walpole Rd,5/5/2022,943.8357,13.86
Veness Brook,5/5/2022,711.8751,2.06
Sucker Brook,5/20/2022,682.2213,5.11
Dutch Hollow,5/20/2022,714.0111,62.19
Inlet Moravia,5/20/2022,No HiFy,
Inlet Rt 90,5/20/2022,No HiFy,
Inlet Walpole Rd,5/20/2022,943.6844,26.88
Veness Brook,5/20/2022,,
Sucker Brook,6/1/2022,682.2849,10.88
Dutch Hollow,6/1/2022,713.858,5.33
Inlet Moravia,6/1/2022,no data,
Inlet Rt 90,6/1/2022,772.6183,123.96
Inlet Walpole Rd,6/1/2022,943.5277,8.75
Veness Brook,6/1/2022,711.9419,2.18
Sucker Brook,6/16/2022,682.2252,19.49
Dutch Hollow,6/16/2022,714.214,107.24
Inlet Moravia,6/16/2022,no data,
Inlet Rt 90,6/16/2022,772.865,175.08
Inlet Walpole Rd,6/16/2022,943.8357,1.73
Veness Brook,6/16/2022,711.8751,0
Sucker Brook,7/11/2022,681.9518,0
Dutch Hollow,7/11/2022,713.6252,60.16
Inlet Moravia,7/11/2022,No data,
Inlet Rt 90,7/11/2022,772.3974,62.49
Inlet Walpole Rd,7/11/2022,943.3771,0
Veness Brook,7/11/2022,711.571,0
Sucker Brook,7/20/2022,681.855,no velocity
Dutch Hollow,7/20/2022,713.6711,8.53
Inlet Moravia,7/20/2022,727.5209,59.54
Inlet Rt 90,7/20/2022,772.3665,no velocity
Inlet Walpole Rd,7/20/2022,943.4702,no velocity
Veness Brook,7/20/2022,711.4416,no velocity
Sucker Brook,8/3/2022,681.666,no velocity
Dutch Hollow,8/3/2022,No HiFy,
Inlet Moravia,8/3/2022,727.2884,71.12
Inlet Rt 90,8/3/2022,772.3462,109.82
Inlet Walpole Rd,8/3/2022,943.3866,no velocity
Veness Brook,8/3/2022,711.2477,no velocity
Sucker Brook,8/23/2022,681.6722,5.21
Dutch Hollow,8/23/2022,713.7467,39.83
Inlet Moravia,8/23/2022,727.8315,220.37
Inlet Rt 90,8/23/2022,772.6356,224.92
Inlet Walpole Rd,8/23/2022,943.6353,no velocity
Veness Brook,8/23/2022,711.3353,no velocity
Sucker Brook,9/8/2022,681.8516,24.58
Dutch Hollow,9/8/2022,713.9666,62.59
Inlet Moravia,9/8/2022,727.7259,11.33
Inlet Rt 90,9/8/2022,772.7109,121.26
Inlet Walpole Rd,9/8/2022,943.7103,39.66
Veness Brook,9/8/2022,711.3124,no velocity
Sucker Brook,9/21/2022,682.126,23.04
Dutch Hollow,9/21/2022,713.88,46.4
Inlet Moravia,9/21/2022,727.931,167.76
Inlet Rt 90,9/21/2022,772.8896,74.33
Inlet Walpole Rd,9/21/2022,943.5838,no velocity
Veness Brook,9/21/2022,711.7584,no velocity
Sucker Brook,10/5/2022,681.634,7.84
Dutch Hollow,10/5/2022,713.442,24.01
Inlet Moravia,10/5/2022,727.4475,33.3
Inlet Rt 90,10/5/2022,772.444,64.55
Inlet Walpole Rd,10/5/2022,943.3399,9.35
Veness Brook,10/5/2022,711.2992,no velocity
Sucker Brook,10/19/2022,681.8106,7.72
Dutch Hollow,10/19/2022,No Data,
Inlet Moravia,10/19/2022,727.5197,143.32
Inlet Rt 90,10/19/2022,772.71,158.25
Inlet Walpole Rd,10/19/2022,943.5782,31.62
Veness Brook,10/19/2022,711.4218,0
