"site_id","sample_date","sample_type","sample_matrix","parameter_name","parameter_fraction","result_value","parameter_unit","sample_comment","analytical_method","analysis_date","test_type","laboratory","lab_qualifier_source","lab_qualifier","validated","validation_date","validator_qualifier","validator_qualifier_explanation","method_detection_limit","reporting_limit","quantitation_limit","detection_limit_unit","result_lab_comment"
"07-OWAL_T9-0.1","7/16/2019, 12:00 PM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0846,"mg/L","","E365.1","7/17/2019, 10:37 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0049,NA,0.005,"mg/l",""
"07-OWAL_T9-0.1","7/16/2019, 12:00 PM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0885,"mg/L","","E365.1","7/29/2019, 12:00 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0036,NA,0.005,"mg/l",""
"07-OWLI-3.0","7/16/2019, 10:30 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0066,"mg/L","","E365.1","7/17/2019, 10:37 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0049,NA,0.005,"mg/l",""
"07-OWLI-3.0","7/16/2019, 10:30 AM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0147,"mg/L","","E365.1","7/29/2019, 11:59 AM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0036,NA,0.005,"mg/l",""
"07-OWAL_T46-0.1","7/16/2019, 12:00 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0074,"mg/L","","E365.1","7/17/2019, 10:36 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0049,NA,0.005,"mg/l",""
"07-OWAL_T46-0.1","7/16/2019, 12:00 AM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0115,"mg/L","","E365.1","7/29/2019, 11:58 AM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0036,NA,0.005,"mg/l",""
"07-OWAL_T46-0.1","6/19/2019, 10:45 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0055,"mg/L","","E365.1","6/21/2019, 12:06 AM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0049,NA,0.005,"mg/l",""
"07-OWAL_T46-0.1","6/19/2019, 10:45 AM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0107,"mg/L","","E365.1","6/25/2019, 4:50 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0036,NA,0.005,"mg/l",""
"07-OWLI-3.0","6/18/2019, 3:15 PM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0058,"mg/L","","E365.1","6/19/2019, 10:06 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0049,NA,0.005,"mg/l",""
"07-OWLI-3.0","6/18/2019, 3:15 PM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0179,"mg/L","","E365.1","6/25/2019, 4:36 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0036,NA,0.005,"mg/l",""
"07-OWLI-3.0","6/19/2018, 6:45 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0059,"mg/L","","E365.1","6/20/2018, 9:42 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0014,NA,0.005,"mg/l",""
"07-OWLI-3.0","6/19/2018, 6:45 AM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.022,"mg/L","","E365.1","6/29/2018, 12:41 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.002,NA,0.005,"mg/l",""
"07-OWLI-3.0","5/29/2018, 12:30 PM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0088,"mg/L","","E365.1","5/30/2018, 5:46 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0014,NA,0.005,"mg/l",""
"07-OWLI-3.0","5/29/2018, 12:30 PM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",NA,"mg/L","","E365.1","6/8/2018, 10:35 AM","initial","ALSRNY","AE","U","Y","6/11/2020","U","Analyte was analyzed for but not detected",0.002,0.002,0.005,"mg/l","not detected"
"07-OWLI-3.0","5/23/2018, 6:24 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0066,"mg/L","","E365.1","5/24/2018, 4:31 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.0014,NA,0.005,"mg/l",""
"07-OWLI-3.0","5/23/2018, 6:24 AM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.111,"mg/L","","E365.1","5/31/2018, 3:20 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.01,NA,0.025,"mg/l",""
"07-OWLI-3.0","5/15/2018, 2:40 PM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",NA,"mg/L","","E365.1","5/16/2018, 10:40 PM","initial","ALSRNY","AE","U","Y","6/11/2020","U","Analyte was analyzed for but not detected",0.0014,0.0014,0.005,"mg/l","not detected"
"07-OWLI-3.0","5/15/2018, 2:40 PM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0222,"mg/L","","E365.1","5/22/2018, 10:39 AM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.002,NA,0.005,"mg/l",""
"07-OWLI-3.0","5/1/2018, 10:35 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",NA,"mg/L","","E365.1","5/2/2018, 4:05 PM","initial","ALSRNY","AE","U","Y","6/11/2020","U","Analyte was analyzed for but not detected",0.0014,0.0014,0.005,"mg/l","not detected"
"07-OWLI-3.0","5/1/2018, 10:35 AM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0069,"mg/L","","E365.1","5/15/2018, 10:50 AM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.002,NA,0.005,"mg/l",""
"07-OWLI-3.0","4/26/2018, 11:30 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",NA,"mg/L","","E365.1","4/27/2018, 2:55 PM","initial","ALSRNY","AE","U","Y","6/11/2020","U","Analyte was analyzed for but not detected",0.0014,0.0014,0.005,"mg/l","not detected"
"07-OWLI-3.0","4/26/2018, 11:30 AM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0106,"mg/L","","E365.1","4/30/2018, 2:02 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.002,NA,0.003,"mg/l",""
"07-OWLI-3.0","4/18/2018, 12:30 PM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",NA,"mg/L","","E365.1","4/19/2018, 7:51 PM","initial","ALSRNY","AE","U","Y","6/11/2020","U","Analyte was analyzed for but not detected",0.0014,0.0014,0.005,"mg/l","not detected"
"07-OWLI-3.0","4/18/2018, 12:30 PM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.014,"mg/L","","E365.1","4/24/2018, 11:31 AM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.002,NA,0.003,"mg/l",""
"07-OWLI-3.0","4/3/2018, 9:00 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",NA,"mg/L","","E365.1","4/4/2018, 3:14 PM","initial","ALSRNY","AE","U","Y","6/11/2020","U","Analyte was analyzed for but not detected",0.0014,0.0014,0.005,"mg/l","not detected"
"07-OWLI-3.0","4/3/2018, 9:00 AM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0169,"mg/L","","E365.1","4/18/2018, 3:34 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.002,NA,0.003,"mg/l",""
"07-OWLI-3.0","3/20/2018, 1:30 PM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",NA,"mg/L","","E365.1","3/21/2018, 4:38 PM","initial","ALSRNY","AE","U","Y","6/11/2020","U","Analyte was analyzed for but not detected",0.0014,0.0014,0.005,"mg/l","not detected"
"07-OWLI-3.0","3/20/2018, 1:30 PM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0104,"mg/L","","E365.1","3/27/2018, 6:25 PM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.002,NA,0.003,"mg/l",""
"07-OWLI-3.0","3/12/2018, 1:00 PM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",NA,"mg/L","","E365.1","3/13/2018, 4:48 PM","initial","ALSRNY","AE","U","Y","6/11/2020","U","Analyte was analyzed for but not detected",0.0014,0.0014,0.005,"mg/l","not detected"
"07-OWLI-3.0","3/12/2018, 1:00 PM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",NA,"mg/L","","E365.1","3/13/2018, 4:49 PM","initial","ALSRNY","AE","U","Y","6/11/2020","U","Analyte was analyzed for but not detected",0.0014,0.0014,0.005,"mg/l","not detected"
"07-OWLI-3.0","3/12/2018, 1:00 PM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0058,"mg/L","","E365.1","3/21/2018, 11:43 AM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.002,NA,0.003,"mg/l",""
"07-OWLI-3.0","3/12/2018, 1:00 PM","LAB","WS","PHOSPHORUS, TOTAL (AS P)","TOTAL",0.0063,"mg/L","","E365.1","3/21/2018, 11:46 AM","initial","ALSRNY","AE","0","Y","6/11/2020","A","",0.002,NA,0.003,"mg/l",""
"07-OWLI-3.0","11/13/2007, 7:30 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.00747,"mg/L","","E365.1","11/13/2007, 7:30 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","11/13/2007, 7:30 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.0191,"mg/L","","E365.1","11/13/2007, 7:30 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","10/24/2007, 9:00 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.00829,"mg/L","","E365.1","10/24/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","10/24/2007, 9:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.164,"mg/L","","E365.1","10/24/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","10/3/2007, 9:00 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0207,"mg/L","","E365.1","10/3/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","10/3/2007, 9:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.0364,"mg/L","","E365.1","10/3/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","9/12/2007, 9:00 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0456,"mg/L","","E365.1","9/12/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","9/12/2007, 9:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.0743,"mg/L","","E365.1","9/12/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
