CHS_EVENT_SMAS_HISTORY_ID,CHS_EVENT_SMAS_SAMPLE_DATE,CHR_PCODE,CHR_RESULT_VALUE,CHR_LAB_QUAL,CHR_VALIDATED_YN,CHR_VALIDATION_DATE,CHR_VALIDATOR_QUAL,CHR_VALIDATOR_QUAL_EXPLN,CHR_METHOD_DETECT_LIMIT,CHR_REPORTING_DETECT_LIMIT,CHR_QUANTITATION_LIMIT,CHR_DETECTION_LIMIT_UNIT,CHR_LAB_VALIDATION_LEVEL,CHR_RESULT_COMMENT,CHS_SAMPLE_SOURCE,CHS_PARENT_SAMPLE_CDE,CHS_SAMPLE_DEL_GRP_EQUIS,CHS_SAMPLER,CHS_SAMPLING_COMPANY_CODE,CHS_COMMENT,CHEM_PARAMETER_NAME,CHEM_PARAMETER_UNIT,CHEM_PARAMETER_UNIT_NOSP,CHEM_PARAMETER_FRACTION,CHEM_PARAMETER_SOURCE,CHEM_PARAMETER_NOTES,high_flow_flag,year
07-OWAL_T2-0.1,4/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017095006,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
07-OWAL_T46-0.1,4/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017095017,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
07-OWAL_T5-0.2,4/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017095016,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
07-OWLI-0.1,4/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017095018,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
07-VENE-0.4,4/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017095015,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
O7-DUCH-0.3,4/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017095007,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
O7-SCKR-0.1,4/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017095005,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
07-OWLI-0.1,5/2/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017122004,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
07-VENE-0.4,5/2/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017122003,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
O7-DUCH-0.3,5/2/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017122001,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
O7-SCKR-0.1,5/2/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017122002,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
07-OWAL_T2-0.1,6/6/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017157002,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T46-0.1,6/6/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017157009,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T5-0.2,6/6/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017157010,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWLI-0.1,6/6/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017157008,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-VENE-0.4,6/6/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017157011,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
O7-DUCH-0.3,6/6/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017157003,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
