Client ID,Station_Name,Date,Lat,Long,TDP,TDP_flags,TP ,TP_flags,SRP,SRP_flags,NH3,NH3_flags,Nox,Nox_flags,TN,TN_flags,TSS,TSS_flags,DOC,DOC_flags,POC,POC_flags,Silica
166,Dutch Hollow,7/5/2018,42.86423,-76.507918,13.3,"F2,",20,"F15,",1.5,"F16,",20,"F16,",288,,613,,,F19,3.1,,,,11.04
801,Inlet at Mouth,7/5/2018,42.754942,-76.463351,15.3,,53.5,"F2,F15,",8.4,,104,,595,,1250,,,F19,4.5,,0.555,"F24,",5.96
174,Veness Brook,7/5/2018,42.887364,-76.54882,38.8,"F2,",59.3,"F2,F15,",15,,388,,92,,1280,,,F19,8.4,,0.36,"F24,",4.03
321,Firelane 26,7/5/2018,42.823804,-76.533361,18.3,"F2,F26,",23.7,"F15,",14.7,,12,"F16,",4820,,4690,"F2,",,F19,1.9,,0.3,"F24,",9.32
166,Dutch Hollow,7/17/2018,42.86423,-76.507918,10.2,"F13,F15,",10.6,"F13,F15,",2.5,,26,"F16,F23,F24,",198,"F24,",682,,2.4,"F13,F15,F16,",3.7,,,,9.47
801,Inlet at Mouth,7/17/2018,42.754942,-76.463351,,F19,34.3,"F13,F15,",10.4,,100,"F23,F24,",884,,958,,23.8,"F13,F15,",3,,,,3.23
166,Dutch Hollow,7/25/2018,42.86423,-76.507918,36.5,"F2,F8,",67.9,"F2,F13,",28.5,,92,,1060,,1800,,25.2,,,,0.3867,"F15,",6.81
801,Inlet at Mouth,7/25/2018,42.754942,-76.463351,21.6,"F2,F8,",102.6,"F2,F13,",43.1,"F26,",58,,687,,1250,,90.9,,,,0.3867,"F15,",5.95
174,Veness Brook,7/25/2018,42.887364,-76.54882,24.9,"F2,F8,",56.3,"F2,F13,",15.6,,12,"F16,",14,"F16,",609,,5.1,,,,0.6133,"F15,",3.36
101,Sucker Brook,7/25/2018,42.901229,-76.527212,29.2,"F2,F8,",64.6,"F2,F13,",19.8,,53,,634,,1320,,23.3,,,,0.8533,"F15,",4.32
166,Dutch Hollow,7/31/2018,42.86423,-76.507918,10.6,"F15,F23,",13.3,"F13,",9.9,,15,"F16,",570,,951,,2.1,"F13,F16,",3,,0.115,,2.46
801,Inlet at Mouth,7/31/2018,42.754942,-76.463351,26.8,"F13,F15,F23,",32.1,"F13,",13.1,,41,,868,,1320,,3.4,"F13,",3.6,,0.235,,5.9
321,Firelane 26,7/31/2018,42.823804,-76.533361,21.2,"F15,F23,",21.2,"F2,F13,",16.5,,5,"F22,",3630,"F2,",4350,,6.7,"F13,",,,0.095,"F15,",9.96
174,Veness Brook,7/31/2018,42.887364,-76.54882,27.1,"F15,F23,",42.4,"F2,F13,",9.2,,48,,3260,"F2,",3390,,4,"F13,",7.7,,0.28,,7.7
101,Sucker Brook,7/31/2018,42.901229,-76.527212,42,"F13,F15,",50.3,"F2,F13,",22.4,,21,"F16,",135,,816,,3.1,"F13,",7.6,,0.25,,5.73
303,Martins Point,7/31/2018,42.892722,-76.521832,9.4,"F13,F15,",7,"F13,",1.8,,39,,596,,1060,,2.9,"F13,",4.2,,0.135,"F24,",5.63
166,Dutch Hollow,8/14/2018,42.86423,-76.507918,8.1,,18.6,,1.6,"F16,",38,"F13,",295,,649,,4.6,,2.9,"F15,F23,",0.19,,3.74
801,Inlet at Mouth,8/14/2018,42.754942,-76.463351,47.3,,94.5,"F2,",31.3,,68,"F13,",1010,"F2,",1600,,49.2,,7.2,"F15,",0.26,,6.75
174,Veness Brook,8/14/2018,42.887364,-76.54882,18,,40,,1.5,"F16,",74,"F13,",178,,892,,5.4,,7.7,"F15,F23,",0.4133,,2.27
101,Sucker Brook,8/14/2018,42.901229,-76.527212,101,"F2,",172,"F2,",64.1,"F2,",46,"F13,",472,,1510,,41.2,,11.2,"F15,F29,",0.7733,,9.57
303,Martins Point,8/14/2018,42.892722,-76.521832,21.4,,34.5,"F2,",14.9,,41,"F13,",295,,836,,15,,8.1,"F15,F29,",0.2133,,7.39
