OWLA Site Number,,Site Name,Lat,,Long,Status HiFy Sensor,SWAT Point,
OWLA-166,,East Lake Road Dutch Hollow Brook,42.864288,,-76.507806,installed,SWAT 2,
,,,,,,,,
OWLA-101,,East Lake Road Sucker Brook,42.901189,,-76.527402,installed,SWAT 4,
,,,,,,,,
OWLA-158,,Walpole Road Owasco Inlet,42.599363,,-76.373137,installed,SWAT 18,
,,,,,,,,
OWLA-274,,West Lake Road Veness Brook,42.889701,,-76.54934,installed,SWAT 5,
,,,,,,,,
OWLA-200,,State Route 90 Owasco Inlet,42.659673,,-76.428177,installed,SWAT 17,
,,,,,,,,
OWLA-213,,West Cayuga Street Owasco Inlet,42.71622,,-76.437075,installed,,
,,,,,,,,
OWLA-290,,Long Point,42.83408,,-76.50477,To be installed,,
