"Date","Remarks","Value"
2017-04-05,NA,0.0725
2017-05-02,NA,0.1018
2017-06-06,NA,0.0202
2017-07-05,NA,0.031
2017-07-28,NA,0.0246
2017-10-30,NA,0.4748
2017-11-15,NA,0.0153
2017-12-01,NA,0.0087
2018-07-05,NA,0.02
2018-07-25,NA,0.0629
2018-08-14,NA,0.0186
2018-08-28,NA,0.0117
2018-09-10,NA,0.0479
2018-09-11,NA,0.0765
2018-10-23,NA,0.0082
2018-10-29,NA,0.0351
2018-11-02,NA,0.0438
2021-09-22,NA,0.0084
2021-09-24,NA,0.0569
2021-10-14,NA,0.0134
2021-10-18,NA,0.2341
2021-11-10,NA,0.0167
2022-05-05,NA,0.0104
2022-05-20,NA,0.0156
2022-06-01,NA,0.0222
2022-06-16,NA,0.3879
2022-07-11,NA,0.3879
2022-07-20,NA,0.0183
2022-08-03,NA,0.0139
2022-08-23,NA,0.1845
2022-09-08,NA,0.1093
2022-09-21,NA,0.067
2022-10-05,NA,0.0081
2022-10-19,NA,0.0089
