"Date","Remarks","Value"
2012-04-04,NA,0.0054
2012-04-30,NA,0.0071
2012-05-15,NA,0.0114
2012-06-05,NA,0.0128
2012-06-28,NA,0.0124
2012-07-12,NA,0.0156
2012-08-13,NA,0.014
2012-09-10,NA,0.0555
2012-10-03,NA,0.0187
2012-10-23,NA,0.0144
2017-04-05,NA,0.0725
2017-05-02,NA,0.1018
2017-06-06,NA,0.0202
2017-07-05,NA,0.031
2017-07-28,NA,0.0246
2017-10-30,NA,0.4748
2017-11-15,NA,0.0153
2017-12-01,NA,0.0087
2018-03-12,NA,0.0047
2018-03-20,NA,0.0088
2018-04-03,NA,0.0112
2018-04-18,NA,0.0126
2018-04-26,NA,0.0117
2018-05-01,NA,0.0085
2018-05-15,NA,0.0124
2018-05-23,NA,0.0188
2018-05-29,NA,0.0173
2018-06-19,NA,0.011
2018-07-05,NA,0.02
2018-07-17,NA,0.0106
2018-07-25,NA,0.0679
2018-07-31,NA,0.0133
2018-08-14,NA,0.0186
2018-08-28,NA,0.0117
2018-09-10,NA,0.0479
2018-09-11,NA,0.0765
2018-10-09,NA,0.0196
2018-10-23,NA,0.0088
2018-10-29,NA,0.0351
2018-11-02,NA,0.0438
2019-06-19,NA,0.0245
2019-07-16,NA,0.0109
2021-09-22,NA,0.0084
2021-09-24,NA,0.0569
2021-10-14,NA,0.0134
2021-10-18,NA,0.2341
2021-11-10,NA,0.0167
2022-05-05,NA,0.0104
2022-05-20,NA,0.0156
2022-06-01,NA,0.0222
2022-06-16,NA,0.3879
2022-07-11,NA,0.3879
2022-07-20,NA,0.0183
2022-08-03,NA,0.0139
2022-08-23,NA,0.1845
2022-09-08,NA,0.1093
2022-09-21,NA,0.067
2022-10-05,NA,0.0081
2022-10-19,NA,0.0089
