"Site","Site_ID","Project","Date","TP","Lat","Long"
"Dutch Hollow","OWLA 166","DHD","7/5/2018","20",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD","7/5/2018","53.5",42.754942,-76.463351
"Veness Brook","OWLA 174","DHD","7/5/2018","59.3",42.887364,-76.54882
"Firelane 26","OWLA 321","DHD","7/5/2018","23.7",42.823804,-76.533361
"Dutch Hollow","OWLA 166","DHD","7/17/2018","10.6",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD","7/17/2018","34.3",42.754942,-76.463351
"Dutch Hollow","OWLA 166","DHD","7/25/2018","67.9",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD","7/25/2018","102.6",42.754942,-76.463351
"Veness Brook","OWLA 174","DHD","7/25/2018","56.3",42.887364,-76.54882
"Sucker Brook","OWLA 101","DHD","7/25/2018","64.6",42.901229,-76.527212
"Dutch Hollow","OWLA 166","DHD","7/31/2018","13.3",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD","7/31/2018","32.1",42.754942,-76.463351
"Firelane 26","OWLA 321","DHD","7/31/2018","21.2",42.823804,-76.533361
"Veness Brook","OWLA 174","DHD","7/31/2018","42.4",42.887364,-76.54882
"Sucker Brook","OWLA 101","DHD","7/31/2018","50.3",42.901229,-76.527212
"Martins Point","OWLA 303","DHD","7/31/2018","7",42.892722,-76.521832
"Dutch Hollow","OWLA 166","DHD","8/14/2018","18.6",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD","8/14/2018","94.5",42.754942,-76.463351
"Veness Brook","OWLA 174","DHD","8/14/2018","40",42.887364,-76.54882
"Sucker Brook","OWLA 101","DHD","8/14/2018","172",42.901229,-76.527212
"Martins Point","OWLA 303","DHD","8/14/2018","34.5",42.892722,-76.521832
"Firelane 26","OWLA 321","DHD","8/14/2018","42.7",42.823804,-76.533361
"Dutch Hollow","OWLA 166","DHD","8/28/2018","11.7",42.86423,-76.507918
"Inlet at Mouth","OWLA 801","DHD","8/28/2018","36.1",42.754942,-76.463351
