"Date","Remarks","Value"
2017-04-05,NA,0.0271
2017-05-02,NA,0.287
2017-06-06,NA,0.0274
2017-07-05,NA,0.0472
2017-07-28,NA,0.049
2017-10-30,NA,0.3832
2017-11-15,NA,0.0203
2017-12-01,NA,0.012
2018-08-14,NA,0.172
2018-08-28,NA,0.0736
2018-09-10,NA,0.0305
2018-09-11,NA,0.0447
2018-10-23,NA,0.0157
2018-10-29,NA,0.0506
2018-11-02,NA,0.0371
2021-09-22,NA,0.0335
2021-09-24,NA,0.1205
2021-10-14,NA,0.0327
2021-10-18,NA,0.2223
2021-11-10,NA,0.0337
2022-05-05,NA,0.0205
2022-05-20,NA,0.0275
2022-06-01,NA,0.054
2022-06-16,NA,0.6278
2022-07-11,NA,0.6278
2022-07-20,NA,0.0662
2022-08-03,NA,0.0779
2022-08-23,NA,0.0987
2022-09-08,NA,0.4166
2022-09-21,NA,0.086
2022-10-05,NA,0.0378
2022-10-19,NA,0.0173
